Symbol,Date/Time,Quantity,Price,Commission
VTI,2017-03-14 09:30:00,200,125.00,1.00
VTI,2018-06-20 10:15:00,150,144.20,1.00
VTI,2019-11-08 11:00:00,140,203.00,1.00
BND,2019-05-30 10:00:00,600,78.60,1.00
BND,2022-09-12 09:15:00,620,71.25,1.00
BND,2026-02-19 14:18:32,420,74.10,1.00
IXUS,2020-09-11 11:00:00,800,59.28,1.00
IXUS,2023-06-05 09:30:00,220,63.90,1.00
IXUS,2025-04-30 11:00:01,250,67.20,1.00
IEF,2021-02-04 10:30:00,200,124.00,1.00
IEF,2022-04-20 11:15:00,220,109.11,1.00
IEF,2025-03-12 10:14:22,340,84.10,1.00
USMV,2021-07-29 09:45:00,250,76.00,1.00
USMV,2022-12-08 10:00:00,180,72.40,1.00
USMV,2025-08-25 10:08:14,120,86.10,1.00
USMV,2026-03-04 11:42:17,40,90.40,1.00
SCHP,2022-06-09 09:30:00,510,54.80,1.00
SCHP,2025-06-18 09:45:30,360,48.40,1.00
IEMG,2022-01-18 10:00:00,400,62.40,1.00
IEMG,2023-08-14 09:45:00,340,56.34,1.00
IEMG,2025-10-02 13:31:09,-200,55.40,1.00
IAU,2022-10-04 10:00:00,300,33.10,1.00
IAU,2024-09-23 11:28:00,180,46.20,1.00
SGOV,2025-11-14 09:51:48,165,100.20,0.00
VTI,2025-01-06 09:35:50,90,278.40,1.00
VTI,2026-01-05 10:00:00,60,310.20,1.00
VTI,2026-04-12 09:33:08,32,316.10,1.00
